brands,categories,categories_tags,code,countries,countries_tags,created_t,ecoscore_grade,generic_name,image_url,ingredients_tags,ingredients_text,labels,labels_tags,last_modified_t,manufacturing_places,origins,origins_tags,packaging,packaging_tags,packagings,product_name,stores,source,search_query,ecoscore_score,ecoscore_tags
Storck,Confectioneries,"['en:snacks', 'en:sweet-snacks', 'en:confectioneries']",4014400400007,"Bulgaria, Czech Republic, France, Germany, Hungary, Morocco, Poland, Romania, Russia, Slovakia, Sweden, Switzerland, Turkey, Ukraine","['en:bulgaria', 'en:czech-republic', 'en:france', 'en:germany', 'en:hungary', 'en:morocco', 'en:poland', 'en:romania', 'en:russia', 'en:slovakia', 'en:sweden', 'en:switzerland', 'en:turkey', 'en:ukraine']",1368216921,unknown,Haselnuss (10 %) in Caramel (41 %) mit Nougatcreme (37 %) und Schokolade (12 %),https://images.openfoodfacts.org/images/products/401/440/040/0007/front_en.638.400.jpg,"['en:sugar', 'en:added-sugar', 'en:disaccharide', 'en:vegetable-fat', 'en:oil-and-fat', 'en:vegetable-oil-and-fat', 'en:hazelnut', 'en:nut', 'en:tree-nut', 'en:glucose-syrup', 'en:monosaccharide', 'en:glucose', 'en:skimmed-milk-powder', 'en:dairy', 'en:milk-powder', 'en:e420ii', 'en:e420', 'en:cocoa-paste', 'en:plant', 'en:cocoa', 'en:skimmed-milk', 'en:milk', 'en:sweet-whey', 'en:whey', 'en:lactose', 'en:fat-reduced-cocoa', 'en:cocoa-butter', 'en:butterfat', 'en:fat', 'en:milkfat', 'en:cane-sugar-syrup', 'en:syrup', 'en:whey-product', 'en:emulsifier', 'en:salt', 'en:flavouring', 'en:palm', 'en:palm-oil-and-fat', 'en:palm-oil', 'en:shea-butter', 'en:e322']","Zucker, pflanzliche Fette (Palm, Shea), Haselnüsse, Glukosesirup, Magermilchpulver, Sorbitsirup, Kakaomasse, kondensierte Magermilch, kondensierte Süßmolke, Milchzucker, magerer Kakao, Kakaobutter, Butterreinfett, Rohrzuckersirup, Molkenerzeugnis, Emulgator Lecithine (Soja), Salz, Aromen. Kann auch Mandel, Erdnuss und andere Nüsse enthalten.",,[],1781044468,"berlin, deutschland, nemčija","Germany, de:Njemačka","['en:germany', 'de:Njemačka']","Kunststoff,PET - Polyethylenterephtalat,PP - Polypropylen,Papier,Pappe,Ungewellte Pappe","['en:kunststoff', 'en:pet-polyethylenterephtalat', 'en:pp-polypropylen', 'en:papier', 'en:pappe', 'en:ungewellte-pappe']","[{'food_contact': 0, 'material': 'en:non-corrugated-cardboard', 'number_of_units': 1, 'recycling': 'en:recycle-in-paper-bin', 'shape': 'en:lid'}, {'food_contact': 1, 'material': 'en:pet-colored', 'number_of_units': 1, 'recycling': 'en:recycle-with-plastics', 'shape': 'en:tray'}, {'food_contact': 1, 'material': 'en:pp-5-polypropylene', 'number_of_units': 1, 'recycling': 'en:recycle-with-plastics', 'shape': 'en:film'}, {'food_contact': 0, 'shape': 'en:box'}]",Toffifee 15er,"aldi, coop, delhaize, edeka, irma-dk, kaufland, lidl, netto-md, normal, penny, rewe",food,schokolade,,
fin CARRE,fr:Barres chocolatées à la noix de coco,"['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:confectioneries', 'en:chocolate-candies', 'en:bars', 'en:candy-chocolate-bars', 'fr:barres-chocolatees-a-la-noix-de-coco']",20815356,"Belgium, France, Germany, Netherlands, Poland, Spain, Switzerland","['en:belgium', 'en:france', 'en:germany', 'en:netherlands', 'en:poland', 'en:spain', 'en:switzerland']",1523524219,a,,https://images.openfoodfacts.org/images/products/000/002/081/5356/front_en.146.400.jpg,"['en:cocoa-paste', 'en:plant', 'en:cocoa', 'en:sugar', 'en:added-sugar', 'en:disaccharide', 'fr:noisettes-decortiquees', 'en:nut', 'en:tree-nut', 'en:hazelnut', 'en:cocoa-butter', 'en:butterfat', 'en:oil-and-fat', 'en:dairy', 'en:fat', 'en:milkfat', 'en:emulsifier', 'en:e322']","Kakaomasse, Zucker, Haselnusskerne, Kakaobutter, Butterreinfett, Emulgator: Lecithine.","Sustainable farming, Fairtrade cocoa, Made in Germany, Max Havelaar, Triman","['en:fair-trade', 'en:fairtrade-international', 'en:sustainable-farming', 'en:fairtrade-cocoa', 'en:made-in-germany', 'en:max-havelaar', 'fr:triman']",1777581289,,,[],"Plastique,PP 5 - Polypropylène","['en:plastic', 'en:pp-5-polypropylene']","[{'food_contact': 1, 'material': 'en:pp-5-polypropylene', 'number_of_units': 1, 'quantity_per_unit': '100g', 'quantity_per_unit_unit': 'g', 'quantity_per_unit_value': 100, 'recycling': 'en:recycle', 'shape': 'en:film', 'weight_measured': 2.21}]",Dunkle Schokolade mit ganzen Haselnüssen,Lidl,food,schokolade,75.0,
fin CARRE,Milk chocolates with hazelnuts,"['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:chocolates', 'en:milk-chocolates', 'en:chocolates-with-hazelnuts', 'en:milk-chocolates-with-hazelnuts']",20029838,"Bulgaria, France, Germany","['en:bulgaria', 'en:france', 'en:germany']",1398862798,c,,https://images.openfoodfacts.org/images/products/000/002/002/9838/front_en.115.400.jpg,"['en:sugar', 'en:added-sugar', 'en:disaccharide', 'en:cocoa-butter', 'en:plant', 'en:cocoa', 'en:hazelnut', 'en:nut', 'en:tree-nut', 'en:skimmed-milk-powder', 'en:dairy', 'en:milk-powder', 'en:cocoa-paste', 'en:whey-powder', 'en:whey', 'en:butterfat', 'en:oil-and-fat', 'en:fat', 'en:milkfat', 'en:hazelnut-paste', 'en:emulsifier', 'en:vanilla-extract', 'en:extract', 'en:vanilla', 'en:vegetable-extract', 'en:e322i', 'en:e322']","sugar, cocoa butter, 12% hazelnuts, skimmed milk powder, cocoa mass, whey powder (milk), concentrated butter (milk), hazelnut paste, emulsifier: lecithin (soy), vanilla extract","Fairtrade cocoa, Green Dot, Max Havelaar, UTZ Certified Cocoa","['en:fair-trade', 'en:fairtrade-international', 'en:sustainable-farming', 'en:fairtrade-cocoa', 'en:green-dot', 'en:max-havelaar', 'en:utz-certified', 'en:utz-certified-cocoa']",1777039699,,Unspecified,['en:unspecified'],"Film,Plastique","['en:plastic', 'en:film']","[{'food_contact': 1, 'material': 'en:plastic', 'number_of_units': 1, 'quantity_per_unit': '100 g', 'quantity_per_unit_unit': 'g', 'quantity_per_unit_value': 100, 'shape': 'en:film'}]",Hazelnut Milk Chocolate,Lidl,food,schokolade,58.0,
"Storck, Storck KG",Bonbons,"['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:confectioneries', 'en:chocolate-candies', 'en:bonbons']",4014400932959,"Austria, Bulgaria, Czech Republic, France, Germany, Romania","['en:austria', 'en:bulgaria', 'en:czech-republic', 'en:france', 'en:germany', 'en:romania']",1661098533,unknown,,https://images.openfoodfacts.org/images/products/401/440/093/2959/front_en.111.400.jpg,"['en:sugar', 'en:added-sugar', 'en:disaccharide', 'en:vegetable-fat', 'en:oil-and-fat', 'en:vegetable-oil-and-fat', 'en:hazelnut', 'en:nut', 'en:tree-nut', 'en:glucose-syrup', 'en:monosaccharide', 'en:glucose', 'en:skimmed-milk-powder', 'en:dairy', 'en:milk-powder', 'en:lactose', 'en:humectant', 'en:cocoa-butter', 'en:plant', 'en:cocoa', 'en:skimmed-milk', 'en:milk', 'en:sweet-whey', 'en:whey', 'en:whole-milk-powder', 'en:cream', 'en:cane-sugar-syrup', 'en:syrup', 'en:whey-product', 'en:emulsifier', 'en:flavouring', 'en:buttermilk', 'en:salt', 'en:palm', 'en:palm-oil-and-fat', 'en:palm-oil', 'en:shea-butter', 'en:e420ii', 'en:e420', 'en:e322', 'en:peanut']","Zucker, pflanzliche Fette (Palm, Shea), Haselnüsse (13,1 %), Glukosesirup, Magermilchpulver (8,1%), Milchzucker, Feuchthaltemittel Sorbitsirup, Kakaobutter, kondensierte Magermilch, kondensierte Süßmolke, Vollmilchpulver, Sahnepulver, Rohrzuckersirup, Molkenerzeugnis, Emulgator Lecithine (Soja), Aromen (enthält Erdnuss), Buttermilchpulver, Salz. Kann auch Anteile von Mandel und anderen Nüssen enthalten.","Green Dot, Limited edition","['en:green-dot', 'en:limited-edition']",1780935363,,,[],"Plastic,Cardboard,Box,Film,Paperboard,Tray","['en:plastic', 'en:cardboard', 'en:box', 'en:film', 'en:paperboard', 'en:tray']",[],Toffifee weiße Schokolade,"Aldi, Edeka, Hofer, Lidl, Netto MD, Rewe",food,schokolade,,
"Fin carré, Lidl",Dark chocolates with almonds,"['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:chocolates', 'en:dark-chocolates', 'en:chocolates-with-almonds', 'en:dark-chocolates-with-almonds']",20481940,"France, Germany","['en:france', 'en:germany']",1422622884,c,Schokolade mit ganzen Mandeln,https://images.openfoodfacts.org/images/products/000/002/048/1940/front_de.116.400.jpg,"['en:sugar', 'en:added-sugar', 'en:disaccharide', 'en:cocoa-paste', 'en:plant', 'en:cocoa', 'en:almond', 'en:nut', 'en:tree-nut', 'en:cocoa-butter', 'en:butterfat', 'en:oil-and-fat', 'en:dairy', 'en:fat', 'en:milkfat', 'en:emulsifier', 'en:vanilla-extract', 'en:extract', 'en:vanilla', 'en:vegetable-extract', 'en:e322']","Zucker, Kakaomasse, 25% Mandeln, Kakaobutter, Butterreinfett, Emulgator: Lecithine, Vanille-Extrakt.","Fairtrade cocoa, FSC Mix, Green Dot, Max Havelaar, Nutriscore Grade E, pure cocoa butter, UTZ Certified, Triman, Fsc-c-021442, Fsc-c021, fr:Fairtrade Max Havekaar Cacao, fr:Fairtrade-cocoa-programme","['en:fair-trade', 'en:fairtrade-international', 'en:sustainable-farming', 'en:fairtrade-cocoa', 'en:fsc', 'en:fsc-mix', 'en:green-dot', 'en:max-havelaar', 'en:nutriscore', 'en:nutriscore-grade-e', 'en:pure-cocoa-butter', 'en:utz-certified', 'fr:triman', 'en:Fsc-c-021442', 'en:Fsc-c021', 'fr:Fairtrade Max Havekaar Cacao', 'fr:Fairtrade-cocoa-programme']",1773407464,,,[],"Carton, Boite carton de 11g, FSC C021442, FSC Mixte carton, Film papier, Film papier de 3g, Point vert, Triman","['en:cardboard', 'fr:boite-carton-de-11g', 'fr:fsc-c021442', 'fr:fsc-mixte-carton', 'fr:film-papier', 'fr:film-papier-de-3g', 'fr:point-vert', 'fr:triman']","[{'material': 'en:cardboard', 'number_of_units': 1, 'quantity_per_unit': '200 g', 'quantity_per_unit_unit': 'g', 'quantity_per_unit_value': 200, 'shape': 'en:box', 'weight_measured': 11.53}, {'material': 'en:paper', 'number_of_units': 1, 'quantity_per_unit': '200 g', 'quantity_per_unit_unit': 'g', 'quantity_per_unit_value': 200, 'shape': 'en:film', 'weight_measured': 2.7}]",Dunkle Ganze Mandel,Lidl,food,schokolade,58.0,
"Eat Natural, Ferrero","Chocolate cereal bars, Fruits cereal bars","['en:snacks', 'en:sweet-snacks', 'en:bars', 'en:cereal-bars', 'en:chocolate-cereal-bars', 'en:fruits-cereal-bars']",8000500435618,"France, Germany","['en:france', 'en:germany']",1737196497,c,,https://images.openfoodfacts.org/images/products/800/050/043/5618/front_de.37.400.jpg,"['de:bitterschokolade', 'en:peanut', 'en:nut', 'en:rice-syrup', 'en:added-sugar', 'en:disaccharide', 'en:syrup', 'en:dried-apricots', 'en:fruit', 'en:prunus-species-fruit', 'en:apricot', 'en:puffed-rice', 'en:rice', 'en:pumpkin-seed', 'en:vegetable', 'en:fruit-vegetable', 'en:seed', 'en:pumpkin', 'en:coconut', 'en:coconut-chips', 'de:kichererbsen-crispies', 'en:sunflower-seed', 'en:plant', 'en:sunflower', 'en:cocoa-paste', 'en:cocoa', 'en:cane-sugar', 'en:sugar', 'en:cocoa-butter', 'en:rice-flour', 'en:flour']","Bitterschokolade 20 % (Kakaomasse, Rohrzucker, Kakaobutter), ERDNÜSSE (18%), Reissirup, getrocknete Aprikosen (getrocknete Aprikosen 11 %**, Reismehl), Reis-Crispies, Kürbiskerne, Kokosraspel (5 %), Kokoschips (4,5 %), Kokossirup (4,5%), Kichererbsen-Crispies, Sonnenblumenkerne, ** Im Endprodukt 〃 Kann SOJA, MILCH, MANDELN, HASELNÜSSE, WALNÜSSE, KASCHUNÜSSE, PECANNÜSSE, PARANÜSSE, PISTAZIEN und MACADAMIANÜSSE enthalten,","No gluten, Vegan, FSC Mix","['en:vegetarian', 'en:no-gluten', 'en:vegan', 'en:fsc', 'en:fsc-mix']",1774548975,,,,,,[],"Eat Natural Vegan - Erdnüsse, Kokos & dunkle Schokolade",,food,schokolade,48.0,
Ben & Jerry's,Chocolate ice cream tubs,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-tubs', 'en:chocolate-ice-cream-tubs']",8711327370708,"Austria, France, Germany, Netherlands, Spain, Sweden, Switzerland, United Kingdom","['en:austria', 'en:france', 'en:germany', 'en:netherlands', 'en:spain', 'en:sweden', 'en:switzerland', 'en:united-kingdom']",1583531110,b,Schokoladen-Eiscreme mit Schokogebäckstücken (12%),https://images.openfoodfacts.org/images/products/871/132/737/0708/front_en.161.400.jpg,"['en:cream', 'en:dairy', 'en:water', 'en:sugar', 'en:added-sugar', 'en:disaccharide', 'en:skimmed-milk', 'en:milk', 'en:cocoa', 'en:plant', 'en:wheat-flour', 'en:cereal', 'en:flour', 'en:wheat', 'en:cereal-flour', 'en:fat-reduced-cocoa', 'en:soya-oil', 'en:oil-and-fat', 'en:vegetable-oil-and-fat', 'en:vegetable-oil', 'en:egg-yolk', 'en:egg', 'en:invert-sugar', 'en:monosaccharide', 'en:powdered-egg-white', 'en:egg-white', 'en:stabiliser', 'en:salt', 'en:vanilla-extract', 'en:extract', 'en:vanilla', 'en:vegetable-extract', 'en:barley-malt-flour', 'en:barley', 'en:barley-flour', 'en:raising-agent', 'en:e412', 'en:e407', 'en:e500i', 'en:e500']","_RAHM_ 25%, Trinkwasser, Zucker, konzentrierte _MAGERMILCH_, Kakao 4,5%, _WEIZENMEHL_, fettarmer Kakao, Sojaöl, _EIGELB_, Invertzucker, _EIER_, _EIKLARPULVER_, Stabilisatoren (Guarkernmehl, Carrageen), Salz, Vanilleextrakt, _GERSTENMALZMEHL_, Backtriebmittel (Natriumcarbonat)","Vegetarian, Halal, Triman","['en:vegetarian', 'en:halal', 'fr:triman']",1780988509,netherlands,el:free range eggs,['el:free range eggs'],"Card-lid,Card-tub,Green Dot,Couvercle carton,Film plastique,Pot carton","['en:card-lid', 'en:card-tub', 'en:couvercle-carton', 'en:film-plastique', 'en:green-dot', 'en:pot-carton']","[{'food_contact': 0, 'shape': 'en:film'}, {'food_contact': 1, 'shape': 'en:pot'}, {'food_contact': 1, 'material': 'xx:81-c-pap', 'shape': 'en:lid'}]",Chocolate Fudge Brownie,"carrefour-fr, coop, rewe",food,schokolade,68.0,
Milka,"Chocolate candies, Chocolate cakes, de:Kuchen mit Füllung und überzogen mit Schokolade","['en:snacks', 'en:sweet-snacks', 'en:biscuits-and-cakes', 'en:cocoa-and-its-products', 'en:confectioneries', 'en:chocolate-candies', 'en:cakes', 'en:chocolate-cakes', 'de:Kuchen mit Füllung und überzogen mit Schokolade']",7622210396334,"Belgium, France, Germany, Spain","['en:belgium', 'en:france', 'en:germany', 'en:spain']",1440674123,d,"Kuchen mit Füllung (21,6%) mit Alpenmilchschokoladenstückchen (4,4%), überzogen mit Alpenmilchschokolade (32%)",https://images.openfoodfacts.org/images/products/762/221/039/6334/front_en.78.400.jpg,"['en:sugar', 'en:added-sugar', 'en:disaccharide', 'en:wheat-flour', 'en:cereal', 'en:flour', 'en:wheat', 'en:cereal-flour', 'en:glucose-fructose-syrup', 'en:monosaccharide', 'en:fructose', 'en:glucose', 'en:egg', 'en:rapeseed-oil', 'en:oil-and-fat', 'en:vegetable-oil-and-fat', 'en:cocoa-butter', 'en:plant', 'en:cocoa', 'en:skimmed-milk-powder', 'en:dairy', 'en:milk-powder', 'en:cocoa-paste', 'en:stabiliser', 'en:sweet-whey-powder', 'en:whey', 'en:sweet-whey', 'en:potato-starch', 'en:starch', 'en:shea-butter', 'en:vegetable-fat', 'en:butterfat', 'en:fat', 'en:milkfat', 'en:fat-reduced-cocoa-powder', 'en:cocoa-powder', 'en:emulsifier', 'en:whole-milk-powder', 'en:powdered-egg-white', 'en:egg-white', 'en:raising-agent', 'en:salt', 'en:hazelnut-paste', 'en:nut', 'en:tree-nut', 'en:hazelnut', 'en:flavouring', 'en:thickener', 'en:e422', 'en:milk', 'en:soya-lecithin', 'en:e322', 'en:e322i', 'en:e475', 'en:e471', 'en:e476', 'en:sunflower-lecithin', 'en:e450i', 'en:e450', 'en:e500ii', 'en:e500', 'en:e415']","Zucker, _Weizenmehl_, Glukose-Fruktosesirup, _Ei_, Rapsöl, Kakaobutter, _Magermilchpulver_, Kakaomasse, Stabilisator (Glycerin), Süßmolkenpulver (aus _Milch_), Kartoffelstärke, Sheabutter, _Butterreinfett_, fettarmes Kakaopulver 1,6%, Emulgatoren (_Sojalecithin_, E475, E471, E476, Sonnenblumenlecithin), _Vollmilchpulver_, _Eiklarpulver_, Backtriebmittel (Dinatriumdiphosphat, Natriumhydrogencarbonat), Speisesalz, _Haselnussmasse_, Aromen, Verdickungsmittel (Xanthan)",Green Dot,['en:green-dot'],1779885305,,,[],"Plastic,PP 5 - Polypropylene,Bag,Tray","['en:plastic', 'en:pp-5-polypropylene', 'en:bag', 'en:tray']","[{'food_contact': 1, 'material': 'en:pp-5-polypropylene', 'number_of_units': 1, 'shape': 'en:packaging'}]",Milka Choc & Choc,"carrefour-fr, delhaize, magasins-u, noz, rewe",food,schokolade,32.0,
MAGNUM,Vanilla ice cream bars coated with milk chocolate and almonds,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-bars', 'en:ice-cream-bars-coated-with-chocolate', 'en:vanilla-ice-cream-bars-coated-with-milk-chocolate-and-almonds']",8711327611924,"France, Germany","['en:france', 'en:germany']",1706912811,a-plus,"Vanilleeis umhüllt von Milchschokolade (32%) mit Mandeln (4,5%)",https://images.openfoodfacts.org/images/products/871/132/761/1924/front_de.63.400.jpg,"['en:skimmed-milk', 'en:dairy', 'en:milk', 'en:sugar', 'en:added-sugar', 'en:disaccharide', 'en:cocoa-butter', 'en:plant', 'en:cocoa', 'en:water', 'en:skimmed-milk-powder', 'en:milk-powder', 'en:coconut-fat', 'en:oil-and-fat', 'en:vegetable-oil-and-fat', 'en:vegetable-fat', 'en:almond', 'en:nut', 'en:tree-nut', 'en:glucose-syrup', 'en:monosaccharide', 'en:glucose', 'en:butter', 'en:glucose-fructose-syrup', 'en:fructose', 'en:cocoa-paste', 'en:whey-product', 'en:whey', 'en:emulsifier', 'en:stabiliser', 'en:ground-vanilla-beans', 'en:vanilla', 'en:vanilla-pod', 'en:natural-vanilla-flavouring', 'en:flavouring', 'en:natural-flavouring', 'en:vanilla-flavouring', 'en:colour', 'en:e471', 'en:e322', 'en:e412', 'en:carob-seed-flour', 'en:vegetable', 'en:flour', 'en:legume', 'en:pulse', 'en:carob-bean', 'en:e417', 'en:e407', 'en:e160a']","Entrahmte MILCH, Zucker, Kakaobutter', Trinkwasser, MAGERMILCHPULVER, Kokosfett, MANDELN, Glukosesirup, BUTTERFETT, Glukose-Fruktose-Sirup, Kakaomasse', MOLKENERZEUGNIS, Emulgatoren (E471, Lecithine), Stabilisatoren (Guarkernmehl, Johannisbrotkernmehl, Tarakernmehl, Carrageen), vermahlene Vanilleschoten, natürliches Vanillearoma' (mit MILCH), natürliches Vanillearoma, Farbstoff (Carotin). Kann andere Nüsse enthalten. Glutenfrei.","No gluten, Rainforest Alliance Cocoa, Triman","['en:no-gluten', 'en:rainforest-alliance', 'en:rainforest-alliance-cocoa', 'fr:triman']",1780486523,,,[],,,"[{'food_contact': 1, 'shape': 'en:stick'}]",Magnum Mini Almond,rewe,food,schokolade,91.0,
Favorina,"Biscuits, Plain gingerbreads covered with chocolate","['en:snacks', 'en:sweet-snacks', 'en:biscuits-and-cakes', 'en:biscuits-and-crackers', 'en:biscuits', 'en:gingerbreads', 'en:plain-gingerbreads-covered-with-chocolate']",20154653,"France, Germany","['en:france', 'en:germany']",1358347161,b,Lebkuchem umhüllt mit 25% dunkler Schokolade,https://images.openfoodfacts.org/images/products/000/002/015/4653/front_de.131.400.jpg,"['en:wheat-flour', 'en:cereal', 'en:flour', 'en:wheat', 'en:cereal-flour', 'en:glucose-fructose-syrup', 'en:added-sugar', 'en:monosaccharide', 'en:fructose', 'en:glucose', 'en:dark-chocolate', 'en:chocolate', 'en:water', 'en:caramelised-sugar-syrup', 'en:disaccharide', 'en:sugar', 'en:caramel-syrup', 'en:raising-agent', 'en:e500', 'en:spice', 'en:condiment', 'en:cinnamon', 'en:salt', 'en:cocoa-paste', 'en:plant', 'en:cocoa', 'en:cocoa-butter', 'en:emulsifier', 'en:natural-flavouring', 'en:flavouring', 'en:e503', 'en:e322']","Weizenmehl, Glukose-Fruktose-Sirup, 25% Zartbitterschokolade (Zucker, Kakaomasse, Kakaobutter, Emulgator: Lecithine; natürliches Aroma), Wasser, Karamellzuckersirup, Backtriebmittel: Ammoniumcarbonate, Natriumcarbonate; Gewürze, Zimt, Speisesalz. Kann Spuren von Roggen, Gerste, Hafer, Dinkel, Ei, Schalenfrüchten und Milch enthalten.","Vegan, Fairtrade cocoa, Green Dot, Made in Germany","['en:vegetarian', 'en:fair-trade', 'en:vegan', 'en:fairtrade-cocoa', 'en:green-dot', 'en:made-in-germany']",1773441878,,,[],"Plastic, Cardboard, Pp-tub, fr:Point vert, nl:PAP 21","['en:plastic', 'en:cardboard', 'en:pp-tub', 'fr:point-vert', 'nl:pap-21']","[{'material': 'en:non-corrugated-cardboard', 'number_of_units': 1, 'recycling': 'en:recycle', 'shape': 'en:sleeve'}, {'material': 'en:pp-5-polypropylene'}]","Lebkuchen Hearts, Pretzels & Stars Zartbitter",Lidl,food,schokolade,68.0,
